Gard ID,identifiers,Number of Matches,QID,Match Gard ID
3956,OMIM:200150 | ORPHANET:2388 | UMLS:C0393576,2,Q746781 | Q3338656 | ,
1306,,0,,
6059,UMLS:C0008497,1,Q1076481 | ,True
6060,UMLS:C0008513,1,Q1402851 | ,True
1308,,0,,
8238,ORPHANET:251899 | UMLS:C0431109,1,Q1524940 | ,True
1309,UMLS:C0338597,0,,
4214,OMIM:260500 | ORPHANET:2807 | UMLS:C0205770,1,Q623668 | ,True
10049,OMIM:215500 | ORPHANET:75377 | UMLS:C1536451,4,Q55346129 | Q18558226 | Q55345702 | Q18558233 | ,
6061,OMIM:303100 | ORPHANET:180,1,Q2397009 | ,True
1312,,0,,
6062,UMLS:C0008526,1,Q3693917 | ,True
1315,,0,,
1316,,0,,
10572,OMIM:300243 | ORPHANET:85278 | UMLS:C2678194,1,Q28065629 | ,True
10749,,0,,
1319,ORPHANET:182 | UMLS:C0008582,1,Q2726043 | ,True
9575,UMLS:C1306837,1,Q16877679 | ,False
6064,UMLS:C1266042,1,Q18556342 | ,True
6065,UMLS:C0041107,0,,
1878,UMLS:C2931726,0,,
5406,UMLS:C2931794,0,,
1323,ORPHANET:1580,1,Q55783098 | ,False
5299,ORPHANET:171929 | UMLS:C0795837,1,Q55785697 | ,False
3711,ORPHANET:96148 | UMLS:C0795839,1,Q21154055 | ,False
8630,,0,,
1732,,0,,
10845,,0,,
1735,UMLS:C2931804,0,,
1923,UMLS:C0795842,0,,
6068,UMLS:C0795844,0,,
5305,ORPHANET:1699 | UMLS:C0795845,1,Q55785673 | ,False
10847,,0,,
1926,UMLS:C0795846,0,,
1738,,0,,
1929,UMLS:C0795849,0,,
3722,UMLS:C2931701,0,,
5311,UMLS:C2931700,0,,
5313,ORPHANET:1706 | UMLS:C2931707,1,Q55785678 | ,False
1746,UMLS:C2931708,0,,
5314,UMLS:C0795858,0,,
10990,,0,,
7060,UMLS:C1519651,0,,
5411,UMLS:C2931712,0,,
10853,,0,,
5315,UMLS:C0795861,0,,
10754,OMIM:610543,1,Q666980 | ,False
10755,OMIM:613458 | ORPHANET:96078,1,Q21154077 | ,True
10854,,0,,
5316,UMLS:C2931711,0,,
6075,UMLS:C2931713,0,,
5318,UMLS:C0795865 | ORPHANET:261290,1,Q55786547 | ,False
10996,OMIM:613776 | ORPHANET:319171,2,Q55787475 | Q22443682 | ,
10972,ORPHANET:1597,1,Q55785556 | ,False
5320,UMLS:C2931247,1,Q55787716 | ,False
5408,OMIM:613675 | ORPHANET:97685 | UMLS:C2931198,1,Q21154063 | ,False
8631,OMIM:146390 | ORPHANET:1598,1,Q4557543 | ,True
5323,ORPHANET:1715 | UMLS:C2931811,1,Q55785684 | ,False
35,ORPHANET:3307 | UMLS:C0795868,1,Q2110688 | ,True
13000,,0,,
5324,UMLS:C0809935,0,,
10835,,0,,
10834,,0,,
10833,,0,,
5326,UMLS:C0795871,0,,
10592,OMIM:613026 | ORPHANET:217346 | UMLS:C2751651,1,Q21154066 | ,True
3730,UMLS:C0795796,0,,
10832,,0,,
6082,OMIM:607872 | ORPHANET:1606 | UMLS:C1842870,1,Q3297103 | ,True
8669,,0,,
